Our Coref ID	Text Source	Knowtator Coref ID	Annotator ID	Annotator Name	Annotator Comment	Coref Type	Knowtator Target ID	Target Span Start	Target Span End	Target Spanned Text	Knowtator Calling-out ID	Calling-out Span Start	Calling-out Span End	Calling-out Spanned Text
	ban100.txt	opposition_Instance_80194	opposition_Instance_20000	A2		Type_1	opposition_Instance_80198	9	41	Japanese ISPs To Ban FileSharers	opposition_Instance_80196	22767	23127	"Re: Overall  This is troubling.  At what point does banning P2P evolve into censorship and then banning all  political dissent?  If the private interest is allowed the ability to control what their customers  can do or say, is not fascism and despotism the only logical result?  I beg Japan to not set this example, for I fear what my country would do with it."
	ban100.txt	opposition_Instance_80208	opposition_Instance_20000	A2		Type_1	opposition_Instance_80198	9	41	Japanese ISPs To Ban FileSharers	opposition_Instance_80210	18285	18367	"dude´s this is bullshit its file sharing  not robing music stupid asses!!!!!!!!!!!"
	ban100.txt	opposition_Instance_80222	opposition_Instance_20000	A2		Type_1	opposition_Instance_80198	9	41	Japanese ISPs To Ban FileSharers	opposition_Instance_80224	6883	7049	"Screw the Government of Japan, if I were japanese, I would  wage anarchy on every informational and government place of work, all they are trying to do is  control..."
	ban100.txt	opposition_Instance_80229	opposition_Instance_20000	A2		Type_1	opposition_Instance_80233	12725	12751	steal other people's work,	opposition_Instance_80231	19642	19814	"I find it horrible that so many people on here think file sharing is stealing.  In order to  steal, the item must be gone.  And by all means, the items are all still there."
	ban100.txt	opposition_Instance_80237	opposition_Instance_20000	A2		Type_1	opposition_Instance_80241	139	267	"the agreement to do so has not come from the Japanese Government, but from Japan's four  internet service provider organizations"	opposition_Instance_80239	2849	3233	"this is just reportage catching up, or else it's different ISPs getting together on it.  I know  because I got a note about it from my ISP in Japan in 2004.  It's important to remember that Japan is a totalitarian *society* at every level.  Groups tend to  regulate their members pretty heavy-handedly even when government is not directly involved (as it  does not *seem* to be here)."
	ban100.txt	opposition_Instance_80243	opposition_Instance_20000	A2		Type_1	opposition_Instance_80247	14017	14050	Fresno is even ugly from the air.	opposition_Instance_80245	15401	15428	Central Cali is Da Bomb Yo!
	ban100.txt	opposition_Instance_80253	opposition_Instance_20000	A2		Type_1	opposition_Instance_80204	26551	26586	We invented hamburgers and hotdogs.	opposition_Instance_80218	27269	27300	We invented Geisha girls bitch!
	ban100.txt	opposition_Instance_80265	opposition_Instance_20000	A2		Type_1	opposition_Instance_80269	7450	7598	"independent artists can't stay afloat for long and  continue to produce content unless they are paid as a means of support, not as a means of greed."	opposition_Instance_80267	20913	21252	"Re: #18  You must be a shill for the RIAA and others.  Truth is that file sharing in fact has been a boon to  truly independent filmmakers and other non affiliated content producers, because they've become  better known; it only really harms the big sharks, who have been robbing everyone blind and  suppressing the little guy for decades."
	ban100.txt	opposition_Instance_80281	opposition_Instance_20000	A2		Type_1	opposition_Instance_80283	25255	25281	It's sharing, not stealing	opposition_Instance_80214	41335	41492	"And by the way, all you stupid fucks fall for the term file sharing like its some right to freely  copy digital property without permission or paying for it."
	ban100.txt	opposition_Instance_80285	opposition_Instance_20000	A2		Type_1	opposition_Instance_80198	9	41	Japanese ISPs To Ban FileSharers	opposition_Instance_80276	34824	34922	"Well fuck you Japan.  Its not like you can stop file sharing.  Encrypted networks, do you know it?"
	ban100.txt	opposition_Instance_80290	opposition_Instance_20000	A2		Type_1	opposition_Instance_80198	9	41	Japanese ISPs To Ban FileSharers	opposition_Instance_80260	32034	32186	"Face it the close net workof people there will stop file sharing over the ISPs they will just  swtch over t a big off internet wireless network instead."
	ban100.txt	opposition_Instance_80297	opposition_Instance_20000	A2		Type_1	opposition_Instance_80301	2520	2552	there goes all the good JAV porn	opposition_Instance_80299	5959	6012	i agree with 6 and 7. i am gonna miss that good porn.
	ban100.txt	opposition_Instance_80304	opposition_Instance_20000	A2		Type_1	opposition_Instance_80198	9	41	Japanese ISPs To Ban FileSharers	opposition_Instance_80306	23487	23523	no more hentia..... sniffs and crys*
	ban100.txt	opposition_Instance_80310	opposition_Instance_20000	A2		Type_1	opposition_Instance_80198	9	41	Japanese ISPs To Ban FileSharers	opposition_Instance_80312	9866	10079	"This will cause a temporary recession in file sharing, no more than maybe two or three weeks.  Probably less. After all, when the Blue-Ray discs came out, didn't someone crack and bypass the  code in under a week?"
	ban100.txt	opposition_Instance_80317	opposition_Instance_20000	A2		Type_1	opposition_Instance_80283	25255	25281	It's sharing, not stealing	opposition_Instance_80319	35161	35329	"Secondly, piracey is illegal. You aren't sharing anything. It's just a eufimisom for STEALING, and  that's exactly what it is. It cheats the creator out of their money."
	ban100.txt	opposition_Instance_80322	opposition_Instance_20000	A2		Type_1	opposition_Instance_80301	2520	2552	there goes all the good JAV porn	opposition_Instance_80252	2689	2725	I agree with 6. There goes JAV porn.
	ban100.txt	opposition_Instance_80331	opposition_Instance_20000	A2		Type_1	opposition_Instance_80333	545	715	"File sharers will initially receive a warning for a first offense, then be  disconnected for subsequent offenses, eventually be disconnected from the internet permanently"	opposition_Instance_80201	1507	1746	"Expect military grade encryption to become the norm and darknets to abound.  I wonder if the ISPs  will simply make up rules that all encrypted traffic is suspect and then either demand the user  prove that they aren't guilty or be kicked."
	ban100.txt	opposition_Instance_80335	opposition_Instance_20000	A2		Type_1	opposition_Instance_80272	376	445	"the agreement would see copyright holders tracking  down file-sharers"	opposition_Instance_80264	7413	7826	"I know from personal experience that independent artists can't stay afloat for long and  continue to produce content unless they are paid as a means of support, not as a means of greed.  I  know it's not it's not a popular idea but I just had to speak up.  We all know a lot of good movies  and music are coming from indi-artists and filmmakers right now.  I think we should rally in  support of original content."
	ban100.txt	opposition_Instance_80338	opposition_Instance_20000	A2		Type_1	opposition_Instance_80340	5457	5568	"Most people who engage in illegal behavior on the internet have better computer skills than  the big companies."	opposition_Instance_80316	11457	11559	"Number 13 is right, their are a lot of people with exceptional computer skills, escpitially in  Japan."
	ban100.txt	opposition_Instance_80347	opposition_Instance_20000	A2		Type_1	opposition_Instance_80198	9	41	Japanese ISPs To Ban FileSharers	opposition_Instance_80344	20243	20270	It's about time. Great news
	ban100.txt	opposition_Instance_80352	opposition_Instance_20000	A2	This calling-out s directed at all prior comments that seem to equate file-sharing with intellectual property law infringement.	Type_2	opposition_Instance_80355	21378	21516	"Studies have proven people do  prefer to do things right, file sharing and the entire music and movie industry needs to be  re-envisioned."	opposition_Instance_80341	24106	24219	"file sharing isnt illegal but sharing material that is licensed can be illegal depending on your  countries laws."
