Our Coref ID	Text Source	Knowtator Coref ID	Annotator ID	Annotator Name	Annotator Comment	Coref Type	Knowtator Target ID	Target Span Start	Target Span End	Target Spanned Text	Knowtator Calling-out ID	Calling-out Span Start	Calling-out Span End	Calling-out Spanned Text
	ipad100.txt	opposition_Instance_40004	opposition_Instance_20000	A2		Type_1	opposition_Instance_40000	4537	4613	there are little red dotted boxes around many of the hyperlinks on this page	opposition_Instance_40002	4761	4824	Sounds like a Chrome SEO extension highlighting nofollow links.
	ipad100.txt	opposition_Instance_40013	opposition_Instance_20000	A2		Type_1	opposition_Instance_40011	10	66	The iPad And Chrome OS Netbooks Are On A CollisionCourse	opposition_Instance_40009	5423	5439	Brilliant piece.
	ipad100.txt	opposition_Instance_40022	opposition_Instance_20000	A2		Type_1	opposition_Instance_40020	5441	5504	Microsoft have a lack of vision. Maybe this will kick start `em	opposition_Instance_40018	5625	5689	To do something innovative ,first they have to change their CEO!
	ipad100.txt	opposition_Instance_40029	opposition_Instance_20000	A2		Type_1	opposition_Instance_40020	5441	5504	Microsoft have a lack of vision. Maybe this will kick start `em	opposition_Instance_40027	5772	6007	"iPad is not a game-changer, although it might be a budding device made for a  non-existential market again.  Just think, what it could replace in the future? (Your Coby, PMP device, Your LCD in your Car,  Those vtech for the kids, etc)"
	ipad100.txt	opposition_Instance_40038	opposition_Instance_20000	A2		Type_1	opposition_Instance_40036	6526	6548	look at the Asus T91MT	opposition_Instance_40034	7270	7399	"Who gives a f***k that asus has the hottest hardware? As long as you're forced to use windows or  linux on it, it stinks anyways."
	ipad100.txt	opposition_Instance_40047	opposition_Instance_20000	A2		Type_1	opposition_Instance_40045	7335	7379	"you're forced to use windows or  linux on it"	opposition_Instance_40043	7489	7502	linux rules!!
	ipad100.txt	opposition_Instance_40054	opposition_Instance_20000	A2		Type_1	opposition_Instance_40045	7335	7379	"you're forced to use windows or  linux on it"	opposition_Instance_40052	7601	7777	"Ummmm..... Chrome OS and Android run on top of the Linux kernel.  I know they're realistically not Linux, but I think the fact that these other OSes rely on Linux  says enough."
	ipad100.txt	opposition_Instance_40063	opposition_Instance_20000	A2		Type_1	opposition_Instance_40061	7612	7665	Chrome OS and Android run on top of the Linux kernel.	opposition_Instance_40059	7872	7991	"You know Linux is the kernel, the stuff around that is GNU, and on top of that  is Gnome, KDE, or Android and ChromeOS."
	ipad100.txt	opposition_Instance_40070	opposition_Instance_20000	A2		Type_1	opposition_Instance_40036	6526	6548	look at the Asus T91MT	opposition_Instance_40068	8080	8205	"I have the T91MT, but nice as it looks from the specs it (Windows 7 Touch) just doesn't  respond the way the iPad appears to."
	ipad100.txt	opposition_Instance_40079	opposition_Instance_20000	A2		Type_1	opposition_Instance_40077	8080	8205	"I have the T91MT, but nice as it looks from the specs it (Windows 7 Touch) just doesn't  respond the way the iPad appears to."	opposition_Instance_40075	8437	8832	"i have a t91mt. i am loving it. in fact i am on my couch and responding to this  post.  i had a srluggish system as well untill i upgraded to 2 gb RAM. the processor is definitely slow  but that is something i knew when i bought it.  battery life is excellent and though it may not be as slick as the ipad, it is more functional. i  carry it arround and read pdfs and ebooks on it without issue."
	ipad100.txt	opposition_Instance_40086	opposition_Instance_20000	A2		Type_1	opposition_Instance_40020	5441	5504	Microsoft have a lack of vision. Maybe this will kick start `em	opposition_Instance_40084	8923	9035	"I'm sure Microsoft is watching ... I just can't wait for them to bring something innovative  in the near future."
	ipad100.txt	opposition_Instance_40095	opposition_Instance_20000	A2		Type_1	opposition_Instance_40093	8958	9014	I just can't wait for them to bring something innovative	opposition_Instance_40091	9131	9281	"Don't hold your breath.  They're not going to make hardware. They are going to just update the UI on the Touch version of  Windows 7, which will suck."
	ipad100.txt	opposition_Instance_40102	opposition_Instance_20000	A2		Type_1	opposition_Instance_40093	8958	9014	I just can't wait for them to bring something innovative	opposition_Instance_40100	9376	9578	"hope so that they really brings a revolutionary change .. hmm like an operating system  ... without anu bugs and viruses ... but I seriously hope that they really launch a good product in  the market .."
