Our Coref ID	Text Source	Knowtator Coref ID	Annotator ID	Annotator Name	Annotator Comment	Coref Type	Knowtator Target ID	Target Span Start	Target Span End	Target Spanned Text	Knowtator Calling-out ID	Calling-out Span Start	Calling-out Span End	Calling-out Spanned Text
	twitter100.txt	opposition_Instance_40004	opposition_Instance_20000	A2		Type_1	opposition_Instance_40002	1396	1430	a tweet is fundamentally valueless	opposition_Instance_40000	11207	11237	I agree... the thrill is gone.
	twitter100.txt	opposition_Instance_40013	opposition_Instance_20000	A2		Type_1	opposition_Instance_40011	11218	11236	the thrill is gone	opposition_Instance_40009	11328	11363	And what's more, it was never there
	twitter100.txt	opposition_Instance_40022	opposition_Instance_20000	A2		Type_1	opposition_Instance_40020	11345	11363	it was never there	opposition_Instance_40018	11450	11526	Exactly. Twitter was always lame. I'm glad I don't know anyone who `tweets'.
	twitter100.txt	opposition_Instance_40031	opposition_Instance_20000	A2		Type_1	opposition_Instance_40029	10414	10512	"1800 words is 1796 too many, when I could have simply  pulled a Bartleby and said I prefer not to."	opposition_Instance_40027	11738	11893	"Devin, as punishment for writing this long-winded and defamatory article, I command  you to never write anything again unless it is 140 characters or less."
	twitter100.txt	opposition_Instance_40038	opposition_Instance_20000	A2		Type_1	opposition_Instance_40002	1396	1430	a tweet is fundamentally valueless	opposition_Instance_40036	11987	12057	wow..finally an article on TC asking people not to tweet..loving this!
	twitter100.txt	opposition_Instance_40045	opposition_Instance_20000	A2		Type_1	opposition_Instance_40002	1396	1430	a tweet is fundamentally valueless	opposition_Instance_40043	12154	12174	Twitter is teh BOMB!
	twitter100.txt	opposition_Instance_40054	opposition_Instance_20000	A2		Type_1	opposition_Instance_40052	11745	11810	as punishment for writing this long-winded and defamatory article	opposition_Instance_40050	12267	12344	Or why not someone else from TC write an article with title Why I Use Twitter
	twitter100.txt	opposition_Instance_40063	opposition_Instance_20000	A2		Type_1	opposition_Instance_40061	11459	11483	Twitter was always lame.	opposition_Instance_40059	12443	12746	"No at all, twitter is not just a social media for breaking the news and it  does makes sense and spreads the communication in few seconds. it helps to develop business.. It  has its own value as do ﻿emails, IM, messages, posts, votes, invitations, events, feeds. Of course  its faster than other medias."
	twitter100.txt	opposition_Instance_40072	opposition_Instance_20000	A2		Type_1	opposition_Instance_40070	12454	12535	"twitter is not just a social media for breaking the news and it  does makes sense"	opposition_Instance_40068	12847	13209	"I do agree with you .. it helps a lot .. if its really not that good .. then  why we are discussing this ,.. or if its really that bad . then why the hell ppl would want to hack  it .. apart frm that .. its really easy to get toknow whats going on the other side of the world ..  ppl tweet frm different countries .. discuss differet things .. and same things .."
	twitter100.txt	opposition_Instance_40081	opposition_Instance_20000	A2		Type_1	opposition_Instance_40079	12582	12610	it helps to develop business	opposition_Instance_40077	13435	13716	"More than value for business, Twitter takes most of your time. Once you get caught  in the flurry of tweets, you're lost. There's no escape for you. Again, if you are away from  Twitter, you lose. Because  people forget you if you don't tweet regularly. It's a catch to  situation."
	twitter100.txt	opposition_Instance_40088	opposition_Instance_20000	A2		Type_1	opposition_Instance_40020	11345	11363	it was never there	opposition_Instance_40086	13807	14061	"Devin, there was a thrill when there was actual possibility that Twitter was about  connecting to people but it quickly turned into a massive broadcast/link machine (@Techcunch  included in this sin). And the Featured list really did a tremendous damage."
	twitter100.txt	opposition_Instance_40097	opposition_Instance_20000	A2		Type_1	opposition_Instance_40095	13916	13971	it quickly turned into a massive broadcast/link machine	opposition_Instance_40093	14159	14338	"This is also my problem with Twitter, it's become this bullshit marketing tool for  social media experts. Every day I'm followed by more and more and it's getting beyond annoying."
	twitter100.txt	opposition_Instance_40106	opposition_Instance_20000	A2		Type_1	opposition_Instance_40104	13972	14006	"(@Techcunch  included in this sin)"	opposition_Instance_40102	14340	14397	Techcrunch, as you said, are rightly guilty of this also.
	twitter100.txt	opposition_Instance_40115	opposition_Instance_20000	A2		Type_1	opposition_Instance_40113	14197	14263	"it's become this bullshit marketing tool for  social media experts"	opposition_Instance_40111	14492	14560	You got it. Any social media property will end up being a spam fest.
	twitter100.txt	opposition_Instance_40122	opposition_Instance_20000	A2		Type_1	opposition_Instance_40113	14197	14263	"it's become this bullshit marketing tool for  social media experts"	opposition_Instance_40120	15271	15668	"The thing about Twitter is that it started as a really cool idea --- a cloud of  consciousness unfolding before your eyes.  Everybody's cloud was different.  It can become a cloud  of spam if you let it, but you don't have to let it.  I never follow anyone who follows me unless I know them or their tweets are of some interest to me.   That's the beauty of it --- you don't have to follow anyone."
	twitter100.txt	opposition_Instance_40129	opposition_Instance_20000	A2		Type_1	opposition_Instance_40095	13916	13971	it quickly turned into a massive broadcast/link machine	opposition_Instance_40127	15771	16233	"it quickly turned into a massive broadcast/link machine  Exactly! I wrote a column myself like the post above, about having similar sentiments:  &lt;URL/&gt;   Twitter is a sucker's game that only serves the needs of a tiny elite  The heart of it was that I didn't want to be cog in that broadcast/link machine. Many people didn't  seem to grasp that point, and I got a lot of flack replying basically you-can-chat! But I don't  want to chat in little public snippets."
	twitter100.txt	opposition_Instance_40138	opposition_Instance_20000	A2		Type_1	opposition_Instance_40136	10588	10632	TechCrunch and Twitter are joined at the hip	opposition_Instance_40134	16474	17166	"i've come to the conclusion that its not techcrunch's bloggers. its the company  techcrunch its self.  here we all see more blabbering on about useless crap. do you guys get paid  to be this insignificant?  why couldnt you tweet this;  blah blah blah im going to a nerd fair and i want to tell everyone why im so cool for not trying to  be a sheep like all of you losers! (and i still have 6 characters left)  why couldnt you just tweet that your a moron! it would have saved us all the time.  all i read was look i can use big word to describe to everyone im a idiot.  now i realize techcrunch deserves you on the payroll. not because you try to sound smart but  because you waste more time."
	twitter100.txt	opposition_Instance_40147	opposition_Instance_20000	A2		Type_1	opposition_Instance_40145	17288	17294	What?!	opposition_Instance_40143	17396	17555	"your starting to get it what?! was that a tweet, you  twat?!  is you dont like twitter you should have disabled the comment section to your worthless nonsense."
	twitter100.txt	opposition_Instance_40154	opposition_Instance_20000	A2		Type_1	opposition_Instance_40145	17288	17294	What?!	opposition_Instance_40152	17651	17675	I agree with your what?!
	twitter100.txt	opposition_Instance_40163	opposition_Instance_20000	A2		Type_1	opposition_Instance_40161	17445	17454	you  twat	opposition_Instance_40159	17677	17818	"The first non-pro Twitter post and you are called a twat.  Nice...  I see you did not get the free  sample of Twitter Kool-aid!  (me neither)"
	twitter100.txt	opposition_Instance_40170	opposition_Instance_20000	A2		Type_1	opposition_Instance_40002	1396	1430	a tweet is fundamentally valueless	opposition_Instance_40168	17820	18155	"I agree with your comment (see I'm not a SOB 100% of the time)  Why do I need to have Grandma tweet me the texture of Grandpa's poop?  Don't want to know and don't  care?  Why does everyone think that they are so special to let everyone know what they are doing at  that moment?  (Sorry, but I was not apart of a Frat house sheep clan)"
	twitter100.txt	opposition_Instance_40177	opposition_Instance_20000	A2	This appears to actually just be spam	Type_3					opposition_Instance_40175	18380	18454	I like what &lt;URL/&gt; http://www.Clasilistados.org did with their famous site
	twitter100.txt	opposition_Instance_40186	opposition_Instance_20000	A2		Type_1	opposition_Instance_40184	17363	17374	Adrian Popa	opposition_Instance_40182	18556	18596	Popa means Ass in Russian, look it up...
	twitter100.txt	opposition_Instance_40195	opposition_Instance_20000	A2		Type_1	opposition_Instance_40193	18556	18581	Popa means Ass in Russian	opposition_Instance_40191	18691	18799	"I'd just like to confirm that this is true, because it made me laugh.  In  Russian his name is Adrian Butts."
	twitter100.txt	opposition_Instance_40204	opposition_Instance_20000	A2		Type_1	opposition_Instance_40202	18743	18759	it made me laugh	opposition_Instance_40200	18904	18940	All right everyone, point and laugh!
